,row_id,file_hash,raw_sha,count,url,mod_file,type,subtype_confidence,ask_robert,annotated,Robert reviewed,notes_free_text,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,subtype_num,original_subtype_label
1863,568,ecb18e2aee7f2e5e99d8a399446ddac7216b5d9fe2c67e0105d290ac67a28e8f,87e3992133d25b553285f8c8bb83f4b6122cbaf651121fcabfb4c328619513b1,1,https://modeldb.science/9889?tab=2&file=lytton97/AMPA.mod,,Receptor,1 - Not confident at all,y,y,,"8/9: INCLUDE - says ""AMPA"" but an include file",,,,,subtype_2,
1864,569,2e153e1d0397d0bd69f35e3d2e038a87174bb3ae8e349b5a2e5f6926050a338b,308b27e8cd078c5bfe3ac8d1d245f15e046c53c125ecb3fc01fafbb77e205f98,4,https://modeldb.science/58173?tab=2&file=b05oct26/k2RT03.mod,,Exclude,3 - Highly confident,n,y,,,,,,,subtype_2,
1865,570,ee0cb31061ceea68e76237eb3c3ae9cf89f2b00e0b63093596c45820c4618415,ee0cb31061ceea68e76237eb3c3ae9cf89f2b00e0b63093596c45820c4618415,1,https://modeldb.science/249705?tab=2&file=plateau-potentials/mod/x86_64/CaDynamics_E2.mod,,Exclude,3 - Highly confident,n,y,,,,,,,subtype_2,
1866,571,26d9a2663e03390b0739f6e7452ac7961042cbf6529f116851077574ad3d83d7,157a6c9d070962ae589aeaab670df42e52865537219660b97724410791d61a0e,4,https://modeldb.science/38240?tab=2&file=CA1/mechanism/pulses/pulsedistrib/ipulse2.mod,,Exclude,3 - Highly confident,n,y,,,,,,,subtype_2,
1867,572,2529567f79bd53e2ac693d42b7dc10768d53b7993079038ac110cfa25f6df429,0973f3b24ab8df86ed64546673433b2c036ca281312110e5724a4a9bdc1a3c38,1,https://modeldb.science/267646?tab=2&file=JNE%20Model%20for%20ModelDB/Model%20Files/Amacrine_hhna.mod,,I Na,3 - Highly confident,n,y,,,,,,,subtype_2,
1868,573,806ac593b3defd05cb5ed8d7b683ca73b996e60b001f973a91a8613019e2adf0,158f57adabb42157c0e74f0db3e31ce30b377b1dc4934646cd2d1e0d3bb455af,1,https://modeldb.science/147218?tab=2&file=genet_PC/kdr.mod,,I K,2 - Mildly confident,n,y,,,,,,,subtype_2,
1869,574,37bfe228042f79b485a50636a420726a46582a46f4e422900d8620160f32a5b3,65e293a29e3b80357dd7e8976abf0fcae6dd4f5759315c43d82942d15c327ba1,2,https://modeldb.science/267646?tab=2&file=JNE%20Model%20for%20ModelDB/Model%20Files/gap.mod,,Neither,3 - Highly confident,n,y,,,,,,,subtype_2,
1870,575,45f2f9b53fa2dc30420af8b53dc7d11bd55ad4c9387c52cfe1dfe9346360f470,a798bd8698673cf86bdf11e91699f1590ede745d9b36df35e8b523a78fcaa807,1,https://modeldb.science/53876?tab=2&file=mvns/diagnostics/ca_soma_const_delta_thick_shells.mod,,Neither,3 - Highly confident,n,y,,,,,,,subtype_2,
1871,576,2e68b5da837739be5ebc212061514ca69cf0f87ca818ae73c158afeae316b126,3bb3f4af809e6b25651c86607e06e7063108866eeb6428ea7b336ab468bd6bdc,1,https://modeldb.science/114355?tab=2&file=v8sources/main/extras/exp.mod,,Neither,2 - Mildly confident,n,y,,,,,,,subtype_2,
1872,577,ace1c00a7e25261124d5fefdbc937be0338b2ef6ff9f84655da6b3c2f8d3a9cb,30a63e11b9a503019ed7144791061c0a1baa634905002d88568fa798ebdd35e7,1,https://modeldb.science/262670?tab=2&file=mbnet/mb/mod/kv_wustenberg.mod,,I K,3 - Highly confident,n,y,,,,,,,subtype_2,
1873,578,c51085de2211de97139eed20aa46d8b7552764ed09e951305096dcba754fceae,bbb85cd27c2882b7c9a4eac5c2dbdceff64b6872d7d7a779158ba70e9be3aec4,1,https://modeldb.science/51196?tab=2&file=lsimp2/grc_kca.mod,,I K,3 - Highly confident,n,y,,,,,,,subtype_2,
1874,579,5629891fa2f73a85806fc8a101d03228eed60d8089cb7bf0d3c96e6f0fdb86bd,e6447f1f767d8eac2f21e2878c4deb90012c5e22787076a34f8361c4a373ad1f,1,https://modeldb.science/267508?tab=2&file=MSN(DA)2011/chan_KDR.mod,,I K,3 - Highly confident,n,y,,,,,,,subtype_2,
1875,580,b74c7d47111d3be05e644343316414acd2443da08f4f3bd04a15e3fb2fc6c5bd,d3310a75a9323fb58428c0aa2c1e2c063e1f3c51c9448f7db1be121490f9c837,1,https://modeldb.science/146030?tab=2&file=oconnoretal2012/LeakConductance.mod,,I Other,1 - Not confident at all,y,y,,"8/9: I N is not NONSPECIFIC, not sure what to do here",,,,,subtype_2,
1876,581,d06c87854b90064671500cc9b7de2419cce83fd81e3b35fb94b6b41fbbf7e476,c480fcd725d7090b2a1d0ac070b2fd01977d846741119a22a13a804b1a15ed2e,10,https://modeldb.science/267661?tab=2&file=ModelDB%20Submission%20Feb%202023/FHF2KO%20Model%20Terminal%20Stimulation%20without%20Heating/km_DRG.mod,,I K,3 - Highly confident,n,y,,,,,,,subtype_2,
1877,582,daa17541ed73fab8b517f6b9db0ca4cfd659f6ae4874881327d9cf887cd23de1,0eb6e003c4f4c4ff3ce20714d6561bd173f1a490648667347847fdf0f4f92f31,1,https://modeldb.science/267666?tab=2&file=publishable_code_4/iKCa.mod,,I K,3 - Highly confident,n,y,,Slow Ca-dependent cation current,,,,,subtype_2,
1878,583,1264a33eb59bc07c7acc335d91d3da5cdeae2c2b95e205d3ac26967027f86ee0,c913459280b5015ed6116f7e954e05e57f2703a7d0cdf4b7271aa7a5cd6d4982,1,https://modeldb.science/3815?tab=2&file=tsodyks/tmgsyn.mod,,Neither,1 - Not confident at all,y,y,,7/9: upbcted confidence. E- u,,,,,subtype_2,
1879,584,fb0f1d4adbed6a54b1321cc9e252820c38ac287a7c752101e2190ca441192b9a,0853d64355aa320e5954eaee78564667d1bc3c6448ef46c4b2cc8d3bb7766e71,1,https://modeldb.science/19491?tab=2&file=EurJNeurosci2000/R_VClamp.mod,,Neither,3 - Highly confident,n,y,,,,,,,subtype_2,
1880,585,e0cec844a6bf27f953e00f695d4c23c1d1b84a4debb70b2aa2f07e2bd75a764d,afb3110f1d571b9927fde1d4ff17215866d77b58ec87059846813e64eac4a61e,1,https://modeldb.science/267391?tab=2&file=mRGC_population_model_human_fovea_Italiano_2022/RGC/mod/ih.mod,,I H,3 - Highly confident,n,y,,,,,,,subtype_2,
1881,586,47a76033b8a703afdd10fca84121607f45ec092ade1cd830a41f630a9fd20838,0fd3653bc97216a84d9d70e8665fa5a931a8a03fee2571dbd081eab692f37130,1,https://modeldb.science/181967?tab=2&file=CutsuridisPoirazi2015/km2.mod,,I K,3 - Highly confident,n,y,,,,,,,subtype_2,
1882,587,b40f05fe6e99754178b5a58d14f5349ccb3ae75afd10e03e778da2087c8b5004,078653f3972b11872b437acf03283b9cd698e93e2de29e37d628ab941c1eae48,2,https://modeldb.science/114652?tab=2&file=SSC_model/ic.mod,,I K,3 - Highly confident,n,y,,,,,,,subtype_2,
1883,588,f97c827167d0313479e84cb58c0f66f0c88050974c3d1732f13f928928f25c74,446b58d60a53844b0b02ec1eb89487874b4c2e8657cf8806ccb309906a19dd8f,1,https://modeldb.science/232023?tab=2&file=cerebellar_granular_network/mechanisms/Golgi_CL/Golgi_NaR.mod,,I Na,3 - Highly confident,n,y,,,,,,,subtype_2,
1884,589,1445ed3ff2af6e46578eb3ffba99d803a964c46ec74d99cae2805437ff161d59,ca8ff6cee289b6e6849051af00c7e2b5f687946796b0a568dc0ce8fcd0d3167e,1,https://modeldb.science/267646?tab=2&file=JNE%20Model%20for%20ModelDB/Model%20Files/A2_ina_soma.mod,,I Na,2 - Mildly confident,n,y,,assume NaT,,,,,subtype_2,
1885,590,0dccbeb565ff1bcc5db7b432326368919c37b65933a4fea149d9abb20a77a2cb,9e4d8c8adcd7d4b014e4cca5e6c13d3bf29ed5b94b9ef7117367824cd231d241,2,https://modeldb.science/2016601?tab=2&file=bazhlab_sleep_code/mod/ampa_NEURON.mod,,Receptor,3 - Highly confident,n,y,,,,,,,subtype_2,
1886,591,2d22f314ef44e27268c6d2441fe658ac8a6a35c593f47a0963bbdc7ff36ca4c7,78a36494f609f330229fbce9f2dbd5c79c16b2d16e3f3f459f6df16b70f74344,6,https://modeldb.science/183300?tab=2&file=ShortEtAl2016/Nicotin.mod,,I Other,1 - Not confident at all,y,y,,"8/9: I N is not NONSPECIFIC, not sure what to do here",,,,,subtype_2,
1887,592,b4ba0efe0a844c6cf47da8a4657b1be1cd1b8b1a0b2b1e041c8701d3647f4476,1f6a59b9e17942c0f52a3c68249183f8b137568c3a8e9a63cdf7a0c516839a8f,1,https://modeldb.science/37819?tab=2&file=thal_aug_resp/ntia.mod,,I K,3 - Highly confident,n,y,,8/9: 3 gates but A-type,,,,,subtype_2,
1888,593,1eb247fcd7ffcd3bf8f32510aba030703cdb5ea190636e56c15955ecc8f53e18,e95057f075a2e295f8ae41e9cb9048fbc5d730efdd11fd14f62f2cd0d48c17b6,1,https://modeldb.science/184497?tab=2&file=RumbellEtAl2016/optmz/feature_weaver.mod,,Neither,3 - Highly confident,n,y,,,,,,,subtype_2,
1889,594,fe932390583de2b1354a0995eefafbbde2bd82587814fec1c6833bfb0080b92f,244d8af48ba2267dc3561ff340e890b912fcdc4fc0586b599d02b9dde38231d9,1,https://modeldb.science/187604?tab=2&file=modeldbca1/ch_KvGroup.mod,,I K,2 - Mildly confident,n,y,,8/9. Assume K-DR since 1 n-gate,,,,,subtype_2,
1890,595,39b13ee611dbce3e82ded10946f7415a9224d6673429778a57f71fb88e1bd6cd,c946d9e3a7afb306ee8a9db18d1800e4c88e3d7afd57b5d307ace074997d6b95,1,https://modeldb.science/243508?tab=2&file=Astro/neuronSims/potassiumd.mod,,Neither,2 - Mildly confident,n,y,,,,,,,subtype_2,
1891,596,dc74d6dca4c84837d634bf1791f7c204d1f8b83b311e049c18f8dfd29d0ca67c,61ad5b459afe617fb922cb08f6bf894b11a331f022f5079908adf4d767d6237b,1,https://modeldb.science/141272?tab=2&file=DAmodel/HH_model/Neuron/hh2F.mod,,I Multi,3 - Highly confident,n,y,,,,,,,subtype_2,I K (Delayed Rectifier)
1892,597,dbc122b92a0843f4d93c987ac6c03b4866cb18f3362102d04ce734269923fed6,b398a7bc9945f9ef43320fe233b29e57b2f64a25c6c0dc5a5650cbe730ef8431,1,https://modeldb.science/267511?tab=2&file=S1_Thal_NetPyNE_Frontiers_2022/sim/mod/htc.mod,,I H,3 - Highly confident,n,y,,anomalous rectifer,,,,,subtype_2,
1893,598,2b1a9a8a236f53be5f13f62370ca870e742d0ce72a55da136ef988ab575d8604,e8af10f3b4f7d80bace47653723a91a6a86c7bb531f9a71aa35042ed3b1984de,1,https://modeldb.science/151460?tab=2&file=MiocinovicEtAl2006/KDR.mod,,Exclude,1 - Not confident at all,y,y,,page exists but no code,,,,,subtype_2,
1894,599,3e1eaad4c6089ea226b14afc4cd72bfe1d1d48ebd3ecca7ac26154ee3dc3bd44,4fb21201983eda50fa74e73a3fb3560a13e578707d3ce01d55231be70a7c3620,1,https://modeldb.science/7907?tab=2&file=dendritica-1.1/batch_back/back/mod/kvz_naz/peak.mod,,Neither,2 - Mildly confident,n,y,,,,,,,subtype_2,
1895,600,f636d4d54e7e97110b642fb8f58feee8381349dd74019ab28a5989e03c3260b9,68b2ef874956267665af43d77f2922d93ab4629a59f9335baaa051ad9276df17,1,https://modeldb.science/232023?tab=2&file=cerebellar_granular_network/mechanisms/Golgi_CL/Golgi_lkg.mod,,Neither,3 - Highly confident,n,y,,,,,,,subtype_2,
1896,601,d9d8b03d6e14d76a650b3a2a51a3e5b274bdc24f011c9a1b5a53ec20d3e7bd37,eb31aa206a291aeb03541053f3abcc020cc176ffaf27fc4361e032a60704612d,1,https://modeldb.science/146949?tab=2&file=src/stats.mod,,Neither,3 - Highly confident,n,y,,,,,,,subtype_2,
1897,602,3bf5c7d3cf68d4c58b509c13af72ba6b0076d41601ba7ffc8c4153e8fd6285a8,81aad4ac512eed99b08cd3a91e11045a485771d6de28d8f4aa3217c259e446b1,1,https://modeldb.science/267221?tab=2&file=bilash_2022/_codes/mechanisms/na_olm.mod,,I Na,3 - Highly confident,n,y,,8/9: NaG -> NaT,,,,,subtype_2,
1898,603,84adc8f66c540e937bf2bb0715d487ed2389ac3a2446dbcc5303d06187201686,231363284fe84b49b2b325881e54456f91166024911e732c47fcf46bcfd84ecf,1,https://modeldb.science/144520?tab=2&file=DiFrancescoNoble1985/isi.mod,,I Multi,2 - Mildly confident,n,y,,not sure if we should exlcude because this is cardiac current ,,,,,subtype_2,I K (General)
1899,604,ceadb603c75aec21b1f7d1614e1257069abca0113b17d8642febeec3c3b451ac,e540770b095fbb7590cb0e1ae8e3985304b478b342e4f5dc8dc1f2a3bbe6aec1,1,https://modeldb.science/267357?tab=2&file=model_files/newleak.mod,,I Multi,2 - Mildly confident,n,y,,"leak current including GABA A receptor current so I listed all the leak currents, but not sure whether we should also specify GABA somewhere?",,,,,subtype_2,I Na (Leak)
1900,605,17cd4197798fc1d0c519169437b5eb0028ce453bda413fef36582e1bae93bc53,705eada5c72721aa8acbb098421fb6b33bb4dab45685345680da9b18a0343561,1,https://modeldb.science/244848?tab=2&file=Basak_Narayayanan_2018/vmax.mod,,Neither,3 - Highly confident,n,y,,,,,,,subtype_2,
1901,606,1393bb2d0e32055559ceb1656229dcab9a837c61100bb0346733ec6cb4d05820,651dc867bcb0da11e2d7ec646809dab16efe66410b450816bedeed11b1e15efd,2,https://modeldb.science/116859?tab=2&file=ctxnet_v7/seed.mod,,Neither,3 - Highly confident,n,y,,,,,,,subtype_2,
1902,607,7357fc68793162560321026bd93e62d2b8f34c8980a71961da99f8adeecb9526,9d3126006ede8a0f4362419feb82b088c8a6c83ed3c8e0760ed934238686db5c,1,https://modeldb.science/62266?tab=2&file=b1/B_NA.mod,,I Na,3 - Highly confident,n,y,,,,,,,subtype_2,
1903,608,da7b245c6c96064c4052f533cf8bd2db469ec3b95a6d32732ef02d9a71a1b517,3b419f890c9f0ab605ff57d649a54eb00cbe0a6b4aab838b6844e83b03584657,4,https://modeldb.science/144579?tab=2&file=FRBGamma/mod/gabaa.mod,,Receptor,3 - Highly confident,n,y,,,,,,,subtype_2,
1904,609,75e5ac8edc981ecb891a4d051867e9317dc5c7736acab3b9b7a3ce90344519a6,7fcacc54d9a3954a5f53407f4e0bf8f9b6dc216dbe7f6be679bc8c4b77b237f3,1,https://modeldb.science/93321?tab=2&file=liuEtAl1998/ka.mod,,I K,3 - Highly confident,n,y,,2025-05-24: IC Updated to A-type transient,,,,,subtype_2,
1905,610,f58a2c5ff94be4e8d8ab6e746c61598c2611c18cf8decf287803565f9c265ced,37bccabc7c5f016babaabe33da956fffb22099b5938030c84b0107e0337361df,1,https://modeldb.science/267106?tab=2&file=Lodge_2021_Cell_Rep_GC_Models/na8stX.mod,,I Na,3 - Highly confident,n,y,,"8/9: updated confidence, 8 states NaG",,,,,subtype_2,
1906,611,9f751d03b730bf754fda346b33488b462310225cf2933e86f4718fe03d688730,7ae4b0b12ead0e2e7b842b195d912ae591813d331e1dd652bc1f1f864f736f7c,1,https://modeldb.science/87454?tab=2&file=BahmerLangner2007/NEURON_Chopper_Network_Simulation/na.mod,,I Multi,3 - Highly confident,n,y,,exclude since I Multi,,,,,subtype_2,
1907,612,3d81c69104a2de304afcbd7fe7696eb82bd7e67b9e135779290a64a41d156650,b76cb2971e8da4569bc53db95d69b2f0cf461f119cccf98ef1dfe936ea295cbc,2,https://modeldb.science/95960?tab=2&file=gc-1.1/spines.mod,,Neither,3 - Highly confident,n,y,,,,,,,subtype_2,
1908,613,65b73f32d255186964fbaf8ce60b68e75140926b51461f840d1e3caac0ecbe68,a7faeba31bd0079cdc064d4e0a2fbadbc9e559b3c1317ea3cff44643928f6e2e,1,https://modeldb.science/144579?tab=2&file=FRBGamma/mod/rand.mod,,Neither,3 - Highly confident,n,y,,,,,,,subtype_2,
1909,614,6d200240baeceadee65078452a426128b81d9fe82f33edf4c6c439a20d44f0f5,3ac306158cb153b291579ef590a2ce2faf53ca286f7ebd48b55c869e6482c4fa,1,https://modeldb.science/2017143?tab=2&file=Spillover-master/mod/catdyn.mod,,Neither,3 - Highly confident,n,y,,,,,,,subtype_2,
1910,615,9dca959824d792d8e95dcbd59b65df5dd0752b12ac344c3a864dc2556049ea89,295e2c3378edd1c0a568944870e60b79f7c6c9ef3fb3b9ae7afafac5f0af6210,1,https://modeldb.science/46839?tab=2&file=GranuleCell/Grc_kca.mod,,Neither,3 - Highly confident,n,y,,,,,,,subtype_2,
1911,616,b0240d68068bee0b2fa8db9ecdbf8678eddb2ed6fa5eace159336a5a33b3c7f6,9b7a64d9cd25f2e58e643ea291df0a1f9c2f1862de14e1d80e5842f28af00bc1,1,https://modeldb.science/267710?tab=2&file=moustafaetal2023/NEURON%20Model/KdrSmb1.mod,,I K,3 - Highly confident,n,y,,,,,,,subtype_2,
1912,617,114e05406a32fd5cf0a425809116fbd9eef983a18ef14261eda7b8c3578b5df3,3069649f4ba6770c8fd3b02892da9c110af3ad160618ff3840d0b0d95a32c6ae,1,https://modeldb.science/144586?tab=2&file=anetdemo/stats.mod,,Neither,3 - Highly confident,n,y,,,,,,,subtype_2,
1913,618,d0a77385518332d7a8fa3d21a07790c22e6b73e4c5037305af0a2ec0bcb1b9c4,8953e099378da83b55cc750bf4726ecca4ef8dc3e1e4056e9cb50cc38c586c2f,1,https://modeldb.science/118631?tab=2&file=KoendgenEtAl2008/mechanisms/wb.mod,,I Multi,2 - Mildly confident,n,y,,exclude since I Multi,,,,,subtype_2,
1914,619,bc6635fd20ead6459a1a9a3b521dbdfc7bed2f1b738cc61ea090bb0fd69da09a,b99e91c39676e5b1e21c8088be16135ce00fc7525490a7bd525462a157c10e15,1,https://modeldb.science/83547?tab=2&file=damodel/nmda.mod,,Receptor,3 - Highly confident,n,y,,,,,,,subtype_2,
1915,620,6ae526927a3bcdc28dfa05ec2645ad0bfdc5410983646d206d10653d9af773cb,b70b84c827ee8f1de5ff771aa65d18a2e34174ebdf426b3236cd748a6c12517b,9,https://modeldb.science/65218?tab=2&file=nrntraub/mod/ar.mod,,Exclude,3 - Highly confident,n,y,,,,,,,subtype_2,
1916,621,353958b6a829992f9c5216e0c879a23ca3d4ffc319774ecedcbcd56bb9edaa99,d572a282205eefc659768a8996f3c9a73fcfdbecc8ef02f2f8df32d36582fb80,1,https://modeldb.science/3343?tab=2&file=DLGN_NEW/gabaa.mod,,Receptor,3 - Highly confident,n,y,,,,,,,subtype_2,
1917,622,c13b27255b5879cef1141297332b7bcff9bc1559f2649ef49bd63c3aa0af476f,25220aeabf509173bac628351b955ae4b69fcb69c286a356fffa7236360efdc8,1,https://modeldb.science/125689?tab=2&file=CarvalhoBuonomano/Neuron2009/IPlasSom.mod,,Neither,2 - Mildly confident,n,y,,Not sure which buck synaptic transmission mechanisms go,,,,,subtype_2,
1918,624,c079f94be2f92d61be6a10d2b1f011e2a6679964bb92712d568760ad2c4169f0,a128858296997500d88c862e3027013a562b3b903e424d6df6c3bd0dbacf94b5,1,https://modeldb.science/84589?tab=2&file=eaps/mod/kaprox.mod,,I K,3 - Highly confident,n,y,,assuming a-type transient,,,,,subtype_2,
1919,625,015dd60e15842576ce3a07cac27b6d984dd206d3eb187157034e1eebc3aedb18,40939a1f23154c6017eab0bd5e05b95c4aa97b1490a10c54b0fe79ba94675c52,1,https://modeldb.science/3802?tab=2&file=kx_photo/kxph.mod,,I K,3 - Highly confident,n,y,,,,,,,subtype_2,
1920,626,255b584d2f213966c148ed81512c709ec652a29f1d1c10a770e5b2afeef19ffa,c56f968a8539913843802069dc730f8783015729a81f5591eb7d82d9a4acf996,2,https://modeldb.science/267669?tab=2&file=STN-GPe/calcium.mod,,Neither,3 - Highly confident,n,y,,,,,,,subtype_2,
1921,627,be0da2b4c19f6b262d41d374a8079314fd729345fc75b773104a09b58221e724,6933d8df9a8f87a849f49b1cc401827991af0f58af0a9c280420f611b60b59dd,1,https://modeldb.science/153280?tab=2&file=superdeep/ch_Kdrfast.mod,,I K,2 - Mildly confident,n,y,,"It says ""kdr fast"" so not sure if that fits kdr or a different subtype better",,,,,subtype_2,
1922,628,9c4f6f7a24fecca13895df07df6db72c6ce269ff5b080157a7ceed56e5c52ccf,63decbeaf382ff47652e5f2e3bc54b253e56fab9e1aa70759a65ac9e9079fed8,1,https://modeldb.science/136095?tab=2&file=ncdemo/AMPAr.mod,,Receptor,3 - Highly confident,n,y,,This is AMPA receptor wih only a point process,,,,,subtype_2,
1923,629,8777d3b0b46278b29427e8830d3417b6412c1986b63af9f8a6209222092dfe56,d89a6e453e7a46068af99c1b9421f5015f1307f4d35250c20af2ff4bd17ec1c1,1,https://modeldb.science/141272?tab=2&file=DAmodel/HH_model/Neuron/hh2CW.mod,,I Multi,3 - Highly confident,n,y,,Update 8/9: Update to I Multi,,,,,subtype_2,
1924,630,c00d7caf5137c2db09c6efc5aa59509650d61ae0d44dc0f6600267b3c2cb9c1e,9c978818c0bc9dbcc056635f9c9cbc00787eddb5bdb30e2ca4204404d704f53c,1,https://modeldb.science/185355?tab=2&file=Yim_et_al_2015/SK.mod,,I K,3 - Highly confident,n,y,,,,,,,subtype_2,
1925,631,b2d189b18b6804162ef38eb7a66097934e959ee4b912526b936e55d2acde95e3,b276770bd55c491262deb8c51b7e7558d557ee308e9a80b16d79fd1d07d7ec13,1,https://modeldb.science/146030?tab=2&file=oconnoretal2012/NaxSH0_ChannelML.mod,,I Na,1 - Not confident at all,y,y,,Complex Na model,,,,,subtype_2,
1926,632,1e19199e4ff21181070c02c3d36661463b5444de20c225150d51ff161e0bdb71,42a35af3fd3bb84ba20ac827eae8e74c672c0afa6dcb25f916de0cbc61fa4367,2,https://modeldb.science/267599?tab=2&file=cholinergic_shift_generalize/cal4.mod,,Neither,2 - Mildly confident,n,y,,Not sure which neither bucket this falls into,,,,,subtype_2,
1927,633,8a6661ebf67183366e71e12bf0f672044c44f4cf3b69d78c9318d5dcfbb7f2ae,8a6661ebf67183366e71e12bf0f672044c44f4cf3b69d78c9318d5dcfbb7f2ae,1,https://modeldb.science/249705?tab=2&file=plateau-potentials/mod/x86_64/h_kole.mod,,Exclude,3 - Highly confident,n,y,,,,,,,subtype_2,
1928,634,b68cc4680a4d9299fbebf5e5d86043aaf538a2f7ccc91c17f52e3dd114a68886,edaa06afb4ae6b7e080e21005aede41d6d727cae84f6499fc647df67f71399a1,1,https://modeldb.science/120692?tab=2&file=kootsey83/dynamic/ionleak.mod,,I Multi,3 - Highly confident,n,y,,,,,,,subtype_2,I K (Leak)
1929,635,513ddf1a61e85b2ce1f91e52b90f570d4c169c727bc1fb02bc6fb61439f85eab,9ef00bdfa7d68f46660f4e2172b64004349fdf2435d172d7f199c1e899c41a45,2,https://modeldb.science/93326?tab=2&file=ngetting/shunt.mod,,Neither,2 - Mildly confident,n,y,,,,,,,subtype_2,
1930,636,fef68230567defbbdaafeffb528f0d0a38188c9ebac22d4ea5a7724614fa7a9d,4809c4f66fe387a6b6f7b0bf099b0e440da390f22e9413dc2ef4077f2fdbc670,13,https://modeldb.science/157157?tab=2&file=SaudargieneEtAl2015/hha2.mod,,I Multi,3 - Highly confident,n,y,,,,,,,subtype_2,I Na (Transient)
1931,637,2733f924f4a62782f060e7fd0af29e683be3935b942f3f34e607d9e47ca0ed5c,3eca898f631114f05a48dc9328d7e4607e13fa738a0b1b3333057cdb9e2aa980,1,https://modeldb.science/189786?tab=2&file=neuralnetwork/hoc_files/mod_files/INITIAL.mod,,I Multi,2 - Mildly confident,n,y,,"comes from a motor neuron, maybe we should add another column to describe the type of neuron this is coming from if it exists?",,,,,subtype_2,I K (Delayed Rectifier)
1932,638,6a9b8c3c0c6d34feda4fe17964810aecd371d201606072ecd41c93f03fbedd5c,e88bcbd9849fb35e70fefa54cfe1581c2961eee0373dc4bb65470a27805835e8,1,https://modeldb.science/231427?tab=2&file=reproduction/ProbAMPANMDA2_ratio.mod,,R Multi,3 - Highly confident,n,y,,,,,,,subtype_2,R Glutamate (NMDA)
1933,639,967f011406f818a7f74721eeb8f1dde1295db3322ac509c5ed6ff7e75861cb12,c69158c219f544172b4ee41741a397eb0794d894b912f7ea0b273f2b5c4d6920,1,https://modeldb.science/2017143?tab=2&file=Spillover-master/mod/gaba.mod,,Receptor,3 - Highly confident,n,y,,,,,,,subtype_2,
1934,640,dd7f027285f34a3bb2051aecfb6da53d7b3360da8aafab65d4dc6f64b2af4135,9fc68057329c547b11e21e06e6b674c029710ee4f205160cf9496b14b093ca5c,1,https://modeldb.science/267666?tab=2&file=publishable_code_4/ASIC_native2.mod,,Don't Know,1 - Not confident at all,y,y,,"Not sure if we need to create another category for this: Acid-Sensing Ion Channel (ASIC) ""Type 2"" native current",,,,,subtype_2,
1935,641,0b43f7a50bf5d330e524321e6ea1ebd244b48cae88de1901a037e2aaffe7ea0e,9734663c1a48d1a3fad2894eb835c5d782ac0b9f4e878706eea20e9300b53a67,1,https://modeldb.science/222321?tab=2&file=GentilettiEtAl2016/leak.mod,,I Multi,3 - Highly confident,n,y,,,,,,,subtype_2,I Na (Leak)
1936,642,bae51033b5a470777863e7c468e6dabc9416bbdb93d9d2558e46ca97bab42dd1,beed26490f3efb13c69c91240b2224ced87b315334c0cad090c1635060c5e9e6,4,https://modeldb.science/117459?tab=2&file=CruzEtAlS_cellModel/plus5HT/3cell/hh2.mod,,I Multi,3 - Highly confident,n,y,,,,,,,subtype_2,I Na (Transient)
1937,643,59378b780e36a82cde7ecbd86515f218ad5cba4e23f39c7db5e3a36699bb125e,2e850a1e8194f4af077674006a5b0a4cb82e76b1789af5829bf18ca65feecdc6,3,https://modeldb.science/267176?tab=2&file=motoneuron%20recruitment/cagk.mod,,I K,3 - Highly confident,n,y,,,,,,,subtype_2,
1938,644,dc268641ef30ec45575a83f2c4826dee807d4edb395f0d05a77a618ae56dbaa3,2a539b2351e11ddde09fa29b8a976607012a3172356cc1a740c82d51801a5594,1,https://modeldb.science/37819?tab=2&file=thal_aug_resp/kdr.mod,,I K,1 - Not confident at all,y,y,,8/9: has an INCLUDE statement should we exclude it. Changed subtype confidence to 1,,,,,subtype_2,
1939,645,f76b8319b054fa9ca0314f0404599632754671b1b975c0a92a4720c180f47801,692b3c1c42601a63166044fdcd8b4db511e3f984b872f112e0bd091b34df3f95,2,https://modeldb.science/246546?tab=2&file=Turi_et_al_2019/mechanisms/ichan2bs.mod,,I Multi,2 - Mildly confident,n,y,,"assuming fast = A-type transient, assuming slow = A-type slow",,,,,subtype_2,I K (A-Type Transient)
1940,646,d66ae67e11d63dc9799cf2df8ec9cf5179a0439045f94eba51de759ef1db864c,9c38d6cd8940be38929cd7f34df9ca66868b7ee429b47102eaeac2ed66eb6aae,8,https://modeldb.science/182134?tab=2&file=hfo_model/mod/kapyrkop.mod,,I K,1 - Not confident at all,y,y,,8/9: has an INCLUDE statement should we exclude it.,,,,,subtype_2,
1941,647,54597939c02fc4f06613037306099503e8ed8bee06865ad53501185021bd8624,a73a93a1bbe0a51003984a30afc0397f4f9b465566f60a3c3f5fac63402b0383,1,https://modeldb.science/18501?tab=2&file=sheasbyfohlmeister1999/capump.mod,,Neither,3 - Highly confident,n,y,,,,,,,subtype_2,
1942,648,dda1b1f0acbcc128765efdf18270251ced21bcaed3d6949ba4ac1aa8e50a8125,6e0afa8f72723c3fbd091317bbe2ff36ea5e21dbf9563e4d2f629a39c4f9432d,1,https://modeldb.science/151825?tab=2&file=Demo/na.mod,,I Na,3 - Highly confident,n,y,,,,,,,subtype_2,
